[sound:k8-0801_伊佐木.mp3]	伊佐木 <br> いさき <br> chicken grunt (fish), threeline grunt
deep sea, depths of the sea, ocean depths	深海 <br> しんかい <br> [sound:k8-0913_深海.mp3]
深海	[sound:k8-0913_深海.mp3] <br> しんかい <br> deep sea, depths of the sea, ocean depths
[sound:s8-0913_彼の脳出血は命に関わる状態です。.mp3]	<b>(脳出血)</b> <br> 彼の脳出血は命に関わる状態です。<br> かれののうしゅっけつはいのちにかかわるじょうたいです。 <br> His brain hemorrhage is a life-threatening condition.			
<b>(脳出血)</b> <br> 彼の脳出血は命に関わる状態です。	[sound:s8-0913_彼の脳出血は命に関わる状態です。.mp3] <br> かれののうしゅっけつはいのちにかかわるじょうたいです。 <br> His brain hemorrhage is a life-threatening condition.			
[sound:k8-0914_字.mp3]	字 <br> (kun: あざ, あざな, -な; on: ジ) <br> character, letter, word, section of village
character, letter, word, section of village	字 <br> (kun: あざ, あざな, -な; on: ジ) <br> [sound:k8-0914_字.mp3]
字	[sound:k8-0914_字.mp3] <br> (kun: あざ, あざな, -な; on: ジ) <br> character, letter, word, section of village
[sound:s8-0914_脳波を測定するために装置が使われます。.mp3]	<b>(脳波)</b> <br> 脳波を測定するために装置が使われます。<br> のうはをそくていするためにそうちがつかわれます。 <br> Devices are used to measure brain waves.			
<b>(脳波)</b> <br> 脳波を測定するために装置が使われます。	[sound:s8-0914_脳波を測定するために装置が使われます。.mp3] <br> のうはをそくていするためにそうちがつかわれます。 <br> Devices are used to measure brain waves.			
[sound:k8-0915_字.mp3]	字 <br> あざ <br> section of village
section of village	字 <br> あざ <br> [sound:k8-0915_字.mp3]
字	[sound:k8-0915_字.mp3] <br> あざ <br> section of village
[sound:s8-0915_首脳部はその計画を承認しました。.mp3]	<b>(首脳部)</b> <br> 首脳部はその計画を承認しました。<br> しゅのうぶはそのけいかくをしょうにんしました。 <br> The leadership approved the plan.			
<b>(首脳部)</b> <br> 首脳部はその計画を承認しました。	[sound:s8-0915_首脳部はその計画を承認しました。.mp3] <br> しゅのうぶはそのけいかくをしょうにんしました。 <br> The leadership approved the plan.			
[sound:k8-0916_黒字.mp3]	黒字 <br> くろじ <br> balance (figure) in the black
balance (figure) in the black	黒字 <br> くろじ <br> [sound:k8-0916_黒字.mp3]
黒字	[sound:k8-0916_黒字.mp3] <br> くろじ <br> balance (figure) in the black
[sound:s8-0916_脳神経科医に相談してみた方がいい。.mp3]	<b>(脳神経)</b> <br> 脳神経科医に相談してみた方がいい。<br> のうしんけいかいにそうだんしてみたほうがいい。 <br> You should consult a neurologist.			
<b>(脳神経)</b> <br> 脳神経科医に相談してみた方がいい。	[sound:s8-0916_脳神経科医に相談してみた方がいい。.mp3] <br> のうしんけいかいにそうだんしてみたほうがいい。 <br> You should consult a neurologist.			
[sound:k8-0917_数字.mp3]	数字 <br> すうじ <br> numeral, figure, digit, numeric character
numeral, figure, digit, numeric character	数字 <br> すうじ <br> [sound:k8-0917_数字.mp3]
数字	[sound:k8-0917_数字.mp3] <br> すうじ <br> numeral, figure, digit, numeric character
[sound:s8-0917_寒さで体が極寒になった。.mp3]	<b>(極)</b> <br> 寒さで体が極寒になった。<br> さむさでからだがごっかんになった。 <br> The body became extremely cold due to the cold.			
<b>(極)</b> <br> 寒さで体が極寒になった。	[sound:s8-0917_寒さで体が極寒になった。.mp3] <br> さむさでからだがごっかんになった。 <br> The body became extremely cold due to the cold.			
[sound:k8-0918_赤字.mp3]	赤字 <br> あかじ <br> deficit, (being in or going into) the red; red text, red letters
deficit, (being in or going into) the red; red text, red letters	赤字 <br> あかじ <br> [sound:k8-0918_赤字.mp3]
赤字	[sound:k8-0918_赤字.mp3] <br> あかじ <br> deficit, (being in or going into) the red; red text, red letters
[sound:s8-0918_彼は積極的に新しいアイデアを提案します。.mp3]	<b>(積極的)</b> <br> 彼は積極的に新しいアイデアを提案します。<br> かれはせっきょくてきにあたらしいアイデアをていあんします。 <br> He actively proposes new ideas.			
<b>(積極的)</b> <br> 彼は積極的に新しいアイデアを提案します。	[sound:s8-0918_彼は積極的に新しいアイデアを提案します。.mp3] <br> かれはせっきょくてきにあたらしいアイデアをていあんします。 <br> He actively proposes new ideas.			
[sound:k8-0919_文字.mp3]	文字 <br> もじ, もんじ <br> letter (of alphabet), character; literal
letter (of alphabet), character; literal	文字 <br> もじ, もんじ <br> [sound:k8-0919_文字.mp3]
文字	[sound:k8-0919_文字.mp3] <br> もじ, もんじ <br> letter (of alphabet), character; literal
[sound:s8-0919_積極的なアプローチが必要です。.mp3]	<b>(積極)</b> <br> 積極的なアプローチが必要です。<br> せっきょくてきなアプローチがひつようです。 <br> An active approach is necessary.			
<b>(積極)</b> <br> 積極的なアプローチが必要です。	[sound:s8-0919_積極的なアプローチが必要です。.mp3] <br> せっきょくてきなアプローチがひつようです。 <br> An active approach is necessary.			
[sound:k8-0920_漢字.mp3]	漢字 <br> かんじ <br> Chinese characters, kanji
Chinese characters, kanji	漢字 <br> かんじ <br> [sound:k8-0920_漢字.mp3]
漢字	[sound:k8-0920_漢字.mp3] <br> かんじ <br> Chinese characters, kanji
[sound:s8-0920_その冬は極寒でした。.mp3]	<b>(極)</b> <br> その冬は極寒でした。<br> そのふゆはごっかんでした。 <br> It was extremely cold that winter.			
<b>(極)</b> <br> その冬は極寒でした。	[sound:s8-0920_その冬は極寒でした。.mp3] <br> そのふゆはごっかんでした。 <br> It was extremely cold that winter.			
[sound:k8-0921_十字.mp3]	十字 <br> じゅうじ <br> cross, crossed, cruciform
cross, crossed, cruciform	十字 <br> じゅうじ <br> [sound:k8-0921_十字.mp3]
十字	[sound:k8-0921_十字.mp3] <br> じゅうじ <br> cross, crossed, cruciform
[sound:s8-0921_彼女は消極的な態度を取り続けた。.mp3]	<b>(消極的)</b> <br> 彼女は消極的な態度を取り続けた。<br> かのじょはしょうきょくてきなたいどをとりつづけた。 <br> She continued to maintain a passive attitude.			
<b>(消極的)</b> <br> 彼女は消極的な態度を取り続けた。	[sound:s8-0921_彼女は消極的な態度を取り続けた。.mp3] <br> かのじょはしょうきょくてきなたいどをとりつづけた。 <br> She continued to maintain a passive attitude.			
[sound:k8-0922_文字通り.mp3]	文字通り <br> もじどおり <br> literal; literally
literal; literally	文字通り <br> もじどおり <br> [sound:k8-0922_文字通り.mp3]
文字通り	[sound:k8-0922_文字通り.mp3] <br> もじどおり <br> literal; literally
[sound:s8-0922_その意見は極端すぎると思います。.mp3]	<b>(極端)</b> <br> その意見は極端すぎると思います。<br> そのいけんはきょくたんすぎるとおもいます。 <br> I think that opinion is too extreme.			
<b>(極端)</b> <br> その意見は極端すぎると思います。	[sound:s8-0922_その意見は極端すぎると思います。.mp3] <br> そのいけんはきょくたんすぎるとおもいます。 <br> I think that opinion is too extreme.			
[sound:k8-0923_活字.mp3]	活字 <br> かつじ <br> printing type
printing type	活字 <br> かつじ <br> [sound:k8-0923_活字.mp3]
活字	[sound:k8-0923_活字.mp3] <br> かつじ <br> printing type
[sound:s8-0923_日本はアジアの極東に位置しています。.mp3]	<b>(極東)</b> <br> 日本はアジアの極東に位置しています。<br> にほんはアジアのきょくとうにいちしています。 <br> Japan is located in the Far East of Asia.			
<b>(極東)</b> <br> 日本はアジアの極東に位置しています。	[sound:s8-0923_日本はアジアの極東に位置しています。.mp3] <br> にほんはアジアのきょくとうにいちしています。 <br> Japan is located in the Far East of Asia.			
[sound:k8-0924_点字.mp3]	点字 <br> てんじ <br> Braille
Braille	点字 <br> てんじ <br> [sound:k8-0924_点字.mp3]
点字	[sound:k8-0924_点字.mp3] <br> てんじ <br> Braille
[sound:s8-0924_その政党は極右の立場をとっている。.mp3]	<b>(極右)</b> <br> その政党は極右の立場をとっている。<br> そのせいとうはきょくうのたちばをとっている。 <br> That party takes an extreme right-wing stance.			
<b>(極右)</b> <br> その政党は極右の立場をとっている。	[sound:s8-0924_その政党は極右の立場をとっている。.mp3] <br> そのせいとうはきょくうのたちばをとっている。 <br> That party takes an extreme right-wing stance.			
[sound:k8-0925_答.mp3]	答 <br> (kun: こた.える, こた.え; on: トウ) <br> solution, answer
solution, answer	答 <br> (kun: こた.える, こた.え; on: トウ) <br> [sound:k8-0925_答.mp3]
答	[sound:k8-0925_答.mp3] <br> (kun: こた.える, こた.え; on: トウ) <br> solution, answer
[sound:s8-0925_南極は極めて厳しい環境です。.mp3]	<b>(南極)</b> <br> 南極は極めて厳しい環境です。<br> なんきょくはきわめてきびしいかんきょうです。 <br> The Antarctic is an extremely harsh environment.			
<b>(南極)</b> <br> 南極は極めて厳しい環境です。	[sound:s8-0925_南極は極めて厳しい環境です。.mp3] <br> なんきょくはきわめてきびしいかんきょうです。 <br> The Antarctic is an extremely harsh environment.			
[sound:k8-0926_答え.mp3]	答え <br> こたえ, いらえ <br> response, reply, answer, solution
response, reply, answer, solution	答え <br> こたえ, いらえ <br> [sound:k8-0926_答え.mp3]
答え	[sound:k8-0926_答え.mp3] <br> こたえ, いらえ <br> response, reply, answer, solution
[sound:s8-0926_その情報は極秘に扱われています。.mp3]	<b>(極秘)</b> <br> その情報は極秘に扱われています。<br> そのじょうほうはごくひにあつかわれています。 <br> That information is treated as top secret.			
<b>(極秘)</b> <br> その情報は極秘に扱われています。	[sound:s8-0926_その情報は極秘に扱われています。.mp3] <br> そのじょうほうはごくひにあつかわれています。 <br> That information is treated as top secret.			
[sound:k8-0927_回答.mp3]	回答 <br> かいとう <br> reply, answer
reply, answer	回答 <br> かいとう <br> [sound:k8-0927_回答.mp3]
回答	[sound:k8-0927_回答.mp3] <br> かいとう <br> reply, answer
[sound:s8-0927_彼は究極の目標を持っています。.mp3]	<b>(究極)</b> <br> 彼は究極の目標を持っています。<br> かれはきゅうきょくのもくひょうをもっています。 <br> He has the ultimate goal.			
<b>(究極)</b> <br> 彼は究極の目標を持っています。	[sound:s8-0927_彼は究極の目標を持っています。.mp3] <br> かれはきゅうきょくのもくひょうをもっています。 <br> He has the ultimate goal.			
[sound:k8-0928_答申.mp3]	答申 <br> とうしん <br> report, reply, findings
report, reply, findings	答申 <br> とうしん <br> [sound:k8-0928_答申.mp3]
答申	[sound:k8-0928_答申.mp3] <br> とうしん <br> report, reply, findings
[sound:s8-0928_この植物は珍しい種です。.mp3]	<b>(種)</b> <br> この植物は珍しい種です。<br> このしょくぶつはめずらしいしゅです。 <br> This plant is a rare species.			
<b>(種)</b> <br> この植物は珍しい種です。	[sound:s8-0928_この植物は珍しい種です。.mp3] <br> このしょくぶつはめずらしいしゅです。 <br> This plant is a rare species.			
[sound:k8-0929_答弁.mp3]	答弁 <br> とうべん <br> response, reply, answer, defence, defense
response, reply, answer, defence, defense	答弁 <br> とうべん <br> [sound:k8-0929_答弁.mp3]
答弁	[sound:k8-0929_答弁.mp3] <br> とうべん <br> response, reply, answer, defence, defense
[sound:s8-0929_これは一種の実験です。.mp3]	<b>(一種)</b> <br> これは一種の実験です。<br> これはいっしゅのじっけんです。 <br> This is a kind of experiment.			
