[sound:k8-5601_会館.mp3]	会館 <br> かいかん <br> meeting hall, assembly hall
<b>(化学療法)</b> <br> 彼女はがん治療のために化学療法を受けています。	[sound:s8-5705_彼女はがん治療のために化学療法を受けています。.mp3] <br> かのじょはがんちりょうのためにかがくりょうほうをうけています。 <br> She is undergoing chemotherapy for cancer treatment.			
[sound:k8-5706_友情.mp3]	友情 <br> ゆうじょう <br> friendship, fellowship
friendship, fellowship	友情 <br> ゆうじょう <br> [sound:k8-5706_友情.mp3]
友情	[sound:k8-5706_友情.mp3] <br> ゆうじょう <br> friendship, fellowship
[sound:s8-5706_理学療法士は運動療法を専門とします。.mp3]	<b>(理学療法士)</b> <br> 理学療法士は運動療法を専門とします。<br> りがくりょうほうしはうんどうりょうほうをせんもんとします。 <br> Physical therapists specialize in exercise therapy.			
<b>(理学療法士)</b> <br> 理学療法士は運動療法を専門とします。	[sound:s8-5706_理学療法士は運動療法を専門とします。.mp3] <br> りがくりょうほうしはうんどうりょうほうをせんもんとします。 <br> Physical therapists specialize in exercise therapy.			
[sound:k8-5707_血友病.mp3]	血友病 <br> けつゆうびょう <br> haemophilia
haemophilia	血友病 <br> けつゆうびょう <br> [sound:k8-5707_血友病.mp3]
血友病	[sound:k8-5707_血友病.mp3] <br> けつゆうびょう <br> haemophilia
[sound:s8-5707_彼は入院中に心理療法を受けている。.mp3]	<b>(加療)</b> <br> 彼は入院中に心理療法を受けている。<br> かれはにゅういんちゅうにしんりりょうほうをうけている。 <br> He is receiving psychotherapy while hospitalized.			
<b>(加療)</b> <br> 彼は入院中に心理療法を受けている。	[sound:s8-5707_彼は入院中に心理療法を受けている。.mp3] <br> かれはにゅういんちゅうにしんりりょうほうをうけている。 <br> He is receiving psychotherapy while hospitalized.			
[sound:k8-5708_友愛.mp3]	友愛 <br> ゆうあい <br> fraternity, friendship
fraternity, friendship	友愛 <br> ゆうあい <br> [sound:k8-5708_友愛.mp3]
友愛	[sound:k8-5708_友愛.mp3] <br> ゆうあい <br> fraternity, friendship
[sound:s8-5708_彼女は従業員のマネージャーです。.mp3]	<b>(従)</b> <br> 彼女は従業員のマネージャーです。<br> かのじょはじゅうぎょういんのまねーじゃーです。 <br> She's the manager of the employees.			
<b>(従)</b> <br> 彼女は従業員のマネージャーです。	[sound:s8-5708_彼女は従業員のマネージャーです。.mp3] <br> かのじょはじゅうぎょういんのまねーじゃーです。 <br> She's the manager of the employees.			
[sound:k8-5709_親友.mp3]	親友 <br> しんゆう <br> close friend, bosom (old, intimate) friend, buddy, crony, chum
close friend, bosom (old, intimate) friend, buddy, crony, chum	親友 <br> しんゆう <br> [sound:k8-5709_親友.mp3]
親友	[sound:k8-5709_親友.mp3] <br> しんゆう <br> close friend, bosom (old, intimate) friend, buddy, crony, chum
[sound:s8-5709_この製品は従来のものより性能が優れています。.mp3]	<b>(従来)</b> <br> この製品は従来のものより性能が優れています。<br> このせいひんはじゅうらいのものよりせいのうがすぐれています。 <br> This product has better performance than conventional ones.			
<b>(従来)</b> <br> この製品は従来のものより性能が優れています。	[sound:s8-5709_この製品は従来のものより性能が優れています。.mp3] <br> このせいひんはじゅうらいのものよりせいのうがすぐれています。 <br> This product has better performance than conventional ones.			
[sound:k8-5710_苦.mp3]	苦 <br> (kun: くる.しい, -ぐる.しい, くる.しむ, くる.しめる, にが.い, にが.る; on: ク) <br> suffering, trial, worry, hardship, feel bitter, scowl
suffering, trial, worry, hardship, feel bitter, scowl	苦 <br> (kun: くる.しい, -ぐる.しい, くる.しむ, くる.しめる, にが.い, にが.る; on: ク) <br> [sound:k8-5710_苦.mp3]
苦	[sound:k8-5710_苦.mp3] <br> (kun: くる.しい, -ぐる.しい, くる.しむ, くる.しめる, にが.い, にが.る; on: ク) <br> suffering, trial, worry, hardship, feel bitter, scowl
[sound:s8-5710_彼はその会社の従業員です。.mp3]	<b>(従業員)</b> <br> 彼はその会社の従業員です。<br> かれはそのかいしゃのじゅうぎょういんです。 <br> He is an employee of the company.			
<b>(従業員)</b> <br> 彼はその会社の従業員です。	[sound:s8-5710_彼はその会社の従業員です。.mp3] <br> かれはそのかいしゃのじゅうぎょういんです。 <br> He is an employee of the company.			
[sound:k8-5711_苦しみ.mp3]	苦しみ <br> くるしみ <br> pain, anguish, distress, suffering, hardship
pain, anguish, distress, suffering, hardship	苦しみ <br> くるしみ <br> [sound:k8-5711_苦しみ.mp3]
苦しみ	[sound:k8-5711_苦しみ.mp3] <br> くるしみ <br> pain, anguish, distress, suffering, hardship
[sound:s8-5711_彼は父とともに従軍した。.mp3]	<b>(従軍)</b> <br> 彼は父とともに従軍した。<br> かれはちちとともにじゅうぐんした。 <br> He served in the army with his father.			
<b>(従軍)</b> <br> 彼は父とともに従軍した。	[sound:s8-5711_彼は父とともに従軍した。.mp3] <br> かれはちちとともにじゅうぐんした。 <br> He served in the army with his father.			
[sound:k8-5712_苦い.mp3]	苦い <br> にがい <br> bitter
bitter	苦い <br> にがい <br> [sound:k8-5712_苦い.mp3]
苦い	[sound:k8-5712_苦い.mp3] <br> にがい <br> bitter
[sound:s8-5712_彼は規則に従って行動します。.mp3]	<b>(従って)</b> <br> 彼は規則に従って行動します。<br> かれはきそくにしたがってこうどうします。 <br> He acts according to the rules.			
<b>(従って)</b> <br> 彼は規則に従って行動します。	[sound:s8-5712_彼は規則に従って行動します。.mp3] <br> かれはきそくにしたがってこうどうします。 <br> He acts according to the rules.			
[sound:k8-5713_苦労.mp3]	苦労 <br> くろう <br> troubles, hardships
troubles, hardships	苦労 <br> くろう <br> [sound:k8-5713_苦労.mp3]
苦労	[sound:k8-5713_苦労.mp3] <br> くろう <br> troubles, hardships
[sound:s8-5713_彼は農業に従事しています。.mp3]	<b>(従事)</b> <br> 彼は農業に従事しています。<br> かれはのうぎょうにじゅうじしています。 <br> He is engaged in agriculture.			
<b>(従事)</b> <br> 彼は農業に従事しています。	[sound:s8-5713_彼は農業に従事しています。.mp3] <br> かれはのうぎょうにじゅうじしています。 <br> He is engaged in agriculture.			
[sound:k8-5714_苦情.mp3]	苦情 <br> くじょう <br> complaint, troubles, objection, grievance
complaint, troubles, objection, grievance	苦情 <br> くじょう <br> [sound:k8-5714_苦情.mp3]
苦情	[sound:k8-5714_苦情.mp3] <br> くじょう <br> complaint, troubles, objection, grievance
[sound:s8-5714_彼は宮廷の侍従です。.mp3]	<b>(侍従)</b> <br> 彼は宮廷の侍従です。<br> かれはきゅうていのじじゅうです。 <br> He is a chamberlain at the court.			
<b>(侍従)</b> <br> 彼は宮廷の侍従です。	[sound:s8-5714_彼は宮廷の侍従です。.mp3] <br> かれはきゅうていのじじゅうです。 <br> He is a chamberlain at the court.			
[sound:k8-5715_苦手.mp3]	苦手 <br> にがて <br> poor (at), weak (in), dislike (of)
poor (at), weak (in), dislike (of)	苦手 <br> にがて <br> [sound:k8-5715_苦手.mp3]
苦手	[sound:k8-5715_苦手.mp3] <br> にがて <br> poor (at), weak (in), dislike (of)
[sound:s8-5715_彼女はそのプロジェクトに専従しています。.mp3]	<b>(専従)</b> <br> 彼女はそのプロジェクトに専従しています。<br> かのじょはそのぷろじぇくとにせんじゅうしています。 <br> She is dedicated to that project.			
<b>(専従)</b> <br> 彼女はそのプロジェクトに専従しています。	[sound:s8-5715_彼女はそのプロジェクトに専従しています。.mp3] <br> かのじょはそのぷろじぇくとにせんじゅうしています。 <br> She is dedicated to that project.			
[sound:k8-5716_苦戦.mp3]	苦戦 <br> くせん <br> hard fight, close game
hard fight, close game	苦戦 <br> くせん <br> [sound:k8-5716_苦戦.mp3]
苦戦	[sound:k8-5716_苦戦.mp3] <br> くせん <br> hard fight, close game
[sound:s8-5716_合従連衡の関係が築かれた。.mp3]	<b>(合従連衡)</b> <br> 合従連衡の関係が築かれた。<br> ごうしょうれんこうのかんけいがきずかれた。 <br> An alliance was formed.			
<b>(合従連衡)</b> <br> 合従連衡の関係が築かれた。	[sound:s8-5716_合従連衡の関係が築かれた。.mp3] <br> ごうしょうれんこうのかんけいがきずかれた。 <br> An alliance was formed.			
[sound:k8-5717_苦悩.mp3]	苦悩 <br> くのう <br> suffering, distress, affliction, anguish, agony, trouble
suffering, distress, affliction, anguish, agony, trouble	苦悩 <br> くのう <br> [sound:k8-5717_苦悩.mp3]
苦悩	[sound:k8-5717_苦悩.mp3] <br> くのう <br> suffering, distress, affliction, anguish, agony, trouble
[sound:s8-5717_この部署は本社に従属しています。.mp3]	<b>(従属)</b> <br> この部署は本社に従属しています。<br> このぶしょはほんしゃにじゅうぞくしています。 <br> This department is subordinate to the head office.			
<b>(従属)</b> <br> この部署は本社に従属しています。	[sound:s8-5717_この部署は本社に従属しています。.mp3] <br> このぶしょはほんしゃにじゅうぞくしています。 <br> This department is subordinate to the head office.			
[sound:k8-5718_苦境.mp3]	苦境 <br> くきょう <br> trouble, crisis, predicament, squeeze, pinch
trouble, crisis, predicament, squeeze, pinch	苦境 <br> くきょう <br> [sound:k8-5718_苦境.mp3]
苦境	[sound:k8-5718_苦境.mp3] <br> くきょう <br> trouble, crisis, predicament, squeeze, pinch
[sound:s8-5718_彼は組織に完全に服従している。.mp3]	<b>(服従)</b> <br> 彼は組織に完全に服従している。<br> かれはそしきにかんぜんにふくじゅうしている。 <br> He is completely obedient to the organization.			
<b>(服従)</b> <br> 彼は組織に完全に服従している。	[sound:s8-5718_彼は組織に完全に服従している。.mp3] <br> かれはそしきにかんぜんにふくじゅうしている。 <br> He is completely obedient to the organization.			
[sound:k8-5719_苦痛.mp3]	苦痛 <br> くつう <br> pain, agony, bitterness
pain, agony, bitterness	苦痛 <br> くつう <br> [sound:k8-5719_苦痛.mp3]
苦痛	[sound:k8-5719_苦痛.mp3] <br> くつう <br> pain, agony, bitterness
[sound:s8-5719_右側のドアが開いています。.mp3]	<b>(右)</b> <br> 右側のドアが開いています。<br> みぎがわのドアがあいています。 <br> The door on the right side is open.			
<b>(右)</b> <br> 右側のドアが開いています。	[sound:s8-5719_右側のドアが開いています。.mp3] <br> みぎがわのドアがあいています。 <br> The door on the right side is open.			
[sound:k8-5720_苦しめる.mp3]	苦しめる <br> くるしめる <br> to torment, to harass, to inflict pain
to torment, to harass, to inflict pain	苦しめる <br> くるしめる <br> [sound:k8-5720_苦しめる.mp3]
苦しめる	[sound:k8-5720_苦しめる.mp3] <br> くるしめる <br> to torment, to harass, to inflict pain
[sound:s8-5720_彼は右利きです。.mp3]	<b>(右)</b> <br> 彼は右利きです。<br> かれはみぎききです。 <br> He is right-handed.			
<b>(右)</b> <br> 彼は右利きです。	[sound:s8-5720_彼は右利きです。.mp3] <br> かれはみぎききです。 <br> He is right-handed.			
[sound:k8-5721_就.mp3]	就 <br> (kun: つ.く, つ.ける; on: シュウ, ジュ) <br> concerning, settle, take position, depart, study, per
concerning, settle, take position, depart, study, per	就 <br> (kun: つ.く, つ.ける; on: シュウ, ジュ) <br> [sound:k8-5721_就.mp3]
就	[sound:k8-5721_就.mp3] <br> (kun: つ.く, つ.ける; on: シュウ, ジュ) <br> concerning, settle, take position, depart, study, per
[sound:s8-5721_右翼の政治家が演説をしました。.mp3]	<b>(右翼)</b> <br> 右翼の政治家が演説をしました。<br> うよくのせいじかがえんぜつをしました。 <br> The right-wing politician gave a speech.			
