[sound:k8-3601_育英.mp3]	育英 <br> いくえい <br> education
[sound:s8-3733_その写真の背景には美しい風景が広がっていた。.mp3]	<b>(背景)</b> <br> その写真の背景には美しい風景が広がっていた。<br> そのしゃしんのはいけいにはうつくしいふうけいがひろがっていた。 <br> The photo had a beautiful landscape in the background.			
<b>(背景)</b> <br> その写真の背景には美しい風景が広がっていた。	[sound:s8-3733_その写真の背景には美しい風景が広がっていた。.mp3] <br> そのしゃしんのはいけいにはうつくしいふうけいがひろがっていた。 <br> The photo had a beautiful landscape in the background.			
[sound:k8-3734_趣味.mp3]	趣味 <br> しゅみ <br> hobby, tastes, preference
hobby, tastes, preference	趣味 <br> しゅみ <br> [sound:k8-3734_趣味.mp3]
趣味	[sound:k8-3734_趣味.mp3] <br> しゅみ <br> hobby, tastes, preference
[sound:s8-3734_彼は風景写真を撮るのが好きです。.mp3]	<b>(風景)</b> <br> 彼は風景写真を撮るのが好きです。<br> かれはふうけいしゃしんをとるのがすきです。 <br> He likes taking landscape photos.			
<b>(風景)</b> <br> 彼は風景写真を撮るのが好きです。	[sound:s8-3734_彼は風景写真を撮るのが好きです。.mp3] <br> かれはふうけいしゃしんをとるのがすきです。 <br> He likes taking landscape photos.			
[sound:k8-3735_味わい.mp3]	味わい <br> あじわい <br> flavour, flavor; meaning, significance
flavour, flavor; meaning, significance	味わい <br> あじわい <br> [sound:k8-3735_味わい.mp3]
味わい	[sound:k8-3735_味わい.mp3] <br> あじわい <br> flavour, flavor; meaning, significance
[sound:s8-3735_その光景は彼の心に深く刻まれた。.mp3]	<b>(光景)</b> <br> その光景は彼の心に深く刻まれた。<br> そのこうけいはかれのこころにふかくきざまれた。 <br> The scene was deeply etched in his mind.			
<b>(光景)</b> <br> その光景は彼の心に深く刻まれた。	[sound:s8-3735_その光景は彼の心に深く刻まれた。.mp3] <br> そのこうけいはかれのこころにふかくきざまれた。 <br> The scene was deeply etched in his mind.			
[sound:k8-3736_気味.mp3]	気味 <br> きみ <br> sensation, feeling
sensation, feeling	気味 <br> きみ <br> [sound:k8-3736_気味.mp3]
気味	[sound:k8-3736_気味.mp3] <br> きみ <br> sensation, feeling
[sound:s8-3736_この地域の景観は美しい。.mp3]	<b>(景観)</b> <br> この地域の景観は美しい。<br> このちいきのけいかんはうつくしい。 <br> The scenery in this area is beautiful.			
<b>(景観)</b> <br> この地域の景観は美しい。	[sound:s8-3736_この地域の景観は美しい。.mp3] <br> このちいきのけいかんはうつくしい。 <br> The scenery in this area is beautiful.			
[sound:k8-3737_持ち味.mp3]	持ち味 <br> もちあじ <br> inherent flavor, inherent flavour, distinctive characteristic
inherent flavor, inherent flavour, distinctive characteristic	持ち味 <br> もちあじ <br> [sound:k8-3737_持ち味.mp3]
持ち味	[sound:k8-3737_持ち味.mp3] <br> もちあじ <br> inherent flavor, inherent flavour, distinctive characteristic
[sound:s8-3737_その大会の景品は豪華でした。.mp3]	<b>(景品)</b> <br> その大会の景品は豪華でした。<br> そのたいかいのけいひんはごうかでした。 <br> The prizes at the event were luxurious.			
<b>(景品)</b> <br> その大会の景品は豪華でした。	[sound:s8-3737_その大会の景品は豪華でした。.mp3] <br> そのたいかいのけいひんはごうかでした。 <br> The prizes at the event were luxurious.			
[sound:k8-3738_地味.mp3]	地味 <br> じみ <br> plain, simple, subdued, sober
plain, simple, subdued, sober	地味 <br> じみ <br> [sound:k8-3738_地味.mp3]
地味	[sound:k8-3738_地味.mp3] <br> じみ <br> plain, simple, subdued, sober
[sound:s8-3738_その地域は不景気に苦しんでいる。.mp3]	<b>(不景気)</b> <br> その地域は不景気に苦しんでいる。<br> そのちいきはふけいきにくるしんでいる。 <br> The region is suffering from an economic downturn.			
<b>(不景気)</b> <br> その地域は不景気に苦しんでいる。	[sound:s8-3738_その地域は不景気に苦しんでいる。.mp3] <br> そのちいきはふけいきにくるしんでいる。 <br> The region is suffering from an economic downturn.			
[sound:k8-3739_味方.mp3]	味方 <br> みかた <br> friend, ally, supporter
friend, ally, supporter	味方 <br> みかた <br> [sound:k8-3739_味方.mp3]
味方	[sound:k8-3739_味方.mp3] <br> みかた <br> friend, ally, supporter
[sound:s8-3739_山頂からの景色は素晴らしかった。.mp3]	<b>(景色)</b> <br> 山頂からの景色は素晴らしかった。<br> さんちょうからのけしきはすばらしかった。 <br> The view from the mountaintop was magnificent.			
<b>(景色)</b> <br> 山頂からの景色は素晴らしかった。	[sound:s8-3739_山頂からの景色は素晴らしかった。.mp3] <br> さんちょうからのけしきはすばらしかった。 <br> The view from the mountaintop was magnificent.			
[sound:k8-3740_意味合い.mp3]	意味合い <br> いみあい <br> implication, nuance
implication, nuance	意味合い <br> いみあい <br> [sound:k8-3740_意味合い.mp3]
意味合い	[sound:k8-3740_意味合い.mp3] <br> いみあい <br> implication, nuance
[sound:s8-3740_その小説は情景が生き生きと描かれている。.mp3]	<b>(情景)</b> <br> その小説は情景が生き生きと描かれている。<br> そのしょうせつはじょうけいがいきいきとえがかれている。 <br> The novel vividly depicts the scene.			
<b>(情景)</b> <br> その小説は情景が生き生きと描かれている。	[sound:s8-3740_その小説は情景が生き生きと描かれている。.mp3] <br> そのしょうせつはじょうけいがいきいきとえがかれている。 <br> The novel vividly depicts the scene.			
[sound:k8-3741_負.mp3]	負 <br> (kun: ま.ける, ま.かす, お.う; on: フ) <br> defeat, negative, -, minus, bear, owe, assume a responsibility
defeat, negative, -, minus, bear, owe, assume a responsibility	負 <br> (kun: ま.ける, ま.かす, お.う; on: フ) <br> [sound:k8-3741_負.mp3]
負	[sound:k8-3741_負.mp3] <br> (kun: ま.ける, ま.かす, お.う; on: フ) <br> defeat, negative, -, minus, bear, owe, assume a responsibility
[sound:s8-3741_好景気が続いている。.mp3]	<b>(好景気)</b> <br> 好景気が続いている。<br> こうけいきがつづいている。 <br> The good times continue.			
<b>(好景気)</b> <br> 好景気が続いている。	[sound:s8-3741_好景気が続いている。.mp3] <br> こうけいきがつづいている。 <br> The good times continue.			
[sound:k8-3742_負け.mp3]	負け <br> まけ <br> defeat, loss, losing (a game)
defeat, loss, losing (a game)	負け <br> まけ <br> [sound:k8-3742_負け.mp3]
負け	[sound:k8-3742_負け.mp3] <br> まけ <br> defeat, loss, losing (a game)
[sound:s8-3742_その株価は急落しました。.mp3]	<b>(落)</b> <br> その株価は急落しました。<br> そのかぶかはきゅうらくしました。 <br> The stock price plummeted.			
<b>(落)</b> <br> その株価は急落しました。	[sound:s8-3742_その株価は急落しました。.mp3] <br> そのかぶかはきゅうらくしました。 <br> The stock price plummeted.			
[sound:k8-3743_負担.mp3]	負担 <br> ふたん <br> burden, charge, responsibility
burden, charge, responsibility	負担 <br> ふたん <br> [sound:k8-3743_負担.mp3]
負担	[sound:k8-3743_負担.mp3] <br> ふたん <br> burden, charge, responsibility
[sound:s8-3743_市場は下落傾向にあります。.mp3]	<b>(下落)</b> <br> 市場は下落傾向にあります。<br> しじょうはげらくけいこうにあります。 <br> The market is in a downward trend.			
<b>(下落)</b> <br> 市場は下落傾向にあります。	[sound:s8-3743_市場は下落傾向にあります。.mp3] <br> しじょうはげらくけいこうにあります。 <br> The market is in a downward trend.			
[sound:k8-3744_勝負.mp3]	勝負 <br> しょうぶ <br> victory or defeat, match, contest, game, bout
victory or defeat, match, contest, game, bout	勝負 <br> しょうぶ <br> [sound:k8-3744_勝負.mp3]
勝負	[sound:k8-3744_勝負.mp3] <br> しょうぶ <br> victory or defeat, match, contest, game, bout
[sound:s8-3744_リンゴが木から落ちた。.mp3]	<b>(落ちる)</b> <br> リンゴが木から落ちた。<br> りんごがきからおちた。 <br> The apple fell from the tree.			
<b>(落ちる)</b> <br> リンゴが木から落ちた。	[sound:s8-3744_リンゴが木から落ちた。.mp3] <br> りんごがきからおちた。 <br> The apple fell from the tree.			
[sound:k8-3745_負債.mp3]	負債 <br> ふさい <br> debt, liabilities
debt, liabilities	負債 <br> ふさい <br> [sound:k8-3745_負債.mp3]
負債	[sound:k8-3745_負債.mp3] <br> ふさい <br> debt, liabilities
[sound:s8-3745_彼女は落ち着いた態度を保った。.mp3]	<b>(落ち着いた)</b> <br> 彼女は落ち着いた態度を保った。<br> かのじょはおちついたたいどをたもった。 <br> She maintained a calm attitude.			
<b>(落ち着いた)</b> <br> 彼女は落ち着いた態度を保った。	[sound:s8-3745_彼女は落ち着いた態度を保った。.mp3] <br> かのじょはおちついたたいどをたもった。 <br> She maintained a calm attitude.			
[sound:k8-3746_負.mp3]	負 <br> ふ <br> negative, minus
negative, minus	負 <br> ふ <br> [sound:k8-3746_負.mp3]
負	[sound:k8-3746_負.mp3] <br> ふ <br> negative, minus
[sound:s8-3746_その冗談は会議の雰囲気を明るくした。.mp3]	<b>(落ち)</b> <br> その冗談は会議の雰囲気を明るくした。<br> そのじょうだんはかいぎのふんいきをあかるくした。 <br> The joke lightened the mood of the meeting.			
<b>(落ち)</b> <br> その冗談は会議の雰囲気を明るくした。	[sound:s8-3746_その冗談は会議の雰囲気を明るくした。.mp3] <br> そのじょうだんはかいぎのふんいきをあかるくした。 <br> The joke lightened the mood of the meeting.			
[sound:k8-3747_負う.mp3]	負う <br> おう <br> to bear, to carry on one's back; to take responsibility for, to accept a duty; to be injured; to owe
to bear, to carry on one's back; to take responsibility for, to accept a duty; to be injured; to owe	負う <br> おう <br> [sound:k8-3747_負う.mp3]
負う	[sound:k8-3747_負う.mp3] <br> おう <br> to bear, to carry on one's back; to take responsibility for, to accept a duty; to be injured; to owe
[sound:s8-3747_その飛行機は墜落した。.mp3]	<b>(墜落)</b> <br> その飛行機は墜落した。<br> そのひこうきはついらくした。 <br> The airplane crashed.			
<b>(墜落)</b> <br> その飛行機は墜落した。	[sound:s8-3747_その飛行機は墜落した。.mp3] <br> そのひこうきはついらくした。 <br> The airplane crashed.			
[sound:k8-3748_抱負.mp3]	抱負 <br> ほうふ <br> aspiration, ambition, pretension
aspiration, ambition, pretension	抱負 <br> ほうふ <br> [sound:k8-3748_抱負.mp3]
抱負	[sound:k8-3748_抱負.mp3] <br> ほうふ <br> aspiration, ambition, pretension
[sound:s8-3748_彼は落語が得意です。.mp3]	<b>(落語)</b> <br> 彼は落語が得意です。<br> かれはらくごがとくいです。 <br> He is good at rakugo (traditional Japanese comedic storytelling).			
<b>(落語)</b> <br> 彼は落語が得意です。	[sound:s8-3748_彼は落語が得意です。.mp3] <br> かれはらくごがとくいです。 <br> He is good at rakugo (traditional Japanese comedic storytelling).			
[sound:k8-3749_負傷.mp3]	負傷 <br> ふしょう <br> injury, wound
injury, wound	負傷 <br> ふしょう <br> [sound:k8-3749_負傷.mp3]
